Mic,light,mQ135,temprature,humidity,situation
848,501,207,21,17,M
848,499,207,22,17,M
848,496,207,21,17,M
847,495,205,21,17,M
848,487,207,21,17,M
850,484,207,21,17,M
849,484,205,21,17,M
848,468,206,21,17,M
846,472,205,21,17,M
849,471,207,21,17,M
849,469,206,21,17,M
849,469,207,21,17,M
849,468,207,21,17,M
849,464,207,21,17,M
848,475,207,21,17,M
849,474,207,21,17,M
847,474,206,21,17,M
849,474,207,21,17,M
848,474,207,21,17,M
846,473,205,21,17,M
850,901,179,25,13,M
852,901,180,25,13,M
851,902,180,25,13,M
851,900,180,25,13,M
851,902,180,25,13,M
851,901,178,25,13,M
850,902,181,25,13,M
851,902,180,25,13,M
852,901,180,25,13,M
852,902,182,25,13,M
850,902,180,26,13,M
852,905,180,26,13,M
852,902,180,26,13,M
852,903,180,26,13,M
852,902,181,26,13,M
852,902,181,26,13,M
851,902,180,26,13,M
851,904,180,26,13,M
852,903,180,26,13,M
851,902,180,26,13,M
849,903,179,26,13,M
849,902,179,26,13,M
802,913,496,27,12,H
838,401,217,26,39,H
838,397,217,26,39,H
838,394,218,26,39,H
839,392,217,26,39,H
838,389,217,26,39,H
838,386,217,26,39,H
838,384,217,26,39,H
836,381,216,26,39,H
836,383,217,26,39,H
836,383,217,26,39,H
837,382,217,26,39,H
836,376,217,26,39,H
837,369,217,26,39,H
837,363,217,26,39,H
837,359,218,26,39,H
835,352,217,26,39,H
836,349,218,26,39,H
836,346,217,26,39,H
837,343,218,26,39,H
836,340,218,26,39,H
836,332,217,26,39,H
836,328,217,26,39,H
837,325,217,26,39,H
837,327,217,26,39,H
836,326,218,26,39,H
836,323,216,26,39,H
836,321,217,26,39,H
837,321,217,26,39,H
835,324,216,26,39,H
836,327,217,26,39,H
837,331,217,26,39,H
836,335,217,26,39,H
837,338,217,26,39,H
837,344,217,26,39,H
838,349,217,26,39,H
839,353,217,26,39,H
839,354,217,26,39,H
839,357,216,26,39,H
839,362,218,26,39,H
839,369,216,26,39,H
838,375,217,26,39,H
840,381,217,26,39,H
839,387,216,26,39,H
839,394,214,26,39,H
841,401,216,26,39,H
840,409,216,26,39,H
841,419,216,23,34,H
841,431,215,23,34,H
841,442,216,26,39,H
842,453,216,23,34,H
841,458,215,26,39,H
840,458,215,23,34,H
840,454,215,26,39,H
841,447,214,26,39,H
839,440,214,23,34,H
840,438,214,22,35,H
840,439,214,26,39,H
840,440,215,25,39,H
839,441,214,26,39,H
839,438,214,26,39,H
840,428,214,26,39,H
839,420,214,26,39,H
838,411,214,26,39,H
840,404,214,26,39,H
840,399,214,26,39,H
840,395,213,26,39,H
838,390,212,26,39,H
840,386,213,26,39,H
838,382,212,26,39,H
838,376,213,26,39,H
839,369,212,26,39,H
840,359,213,26,39,H
